date,pnl,total_profit,n,equity_12M
2020-11-24,63481.21651513655,8450803.34408193,5,20450803.34408193
2020-11-25,27322.710601514074,8478126.054683445,4,20478126.054683447
2020-11-26,-8738.073556219255,8469387.981127225,4,20469387.981127225
2020-11-27,60004.09368245225,8529392.074809678,5,20529392.074809678
2020-11-30,-60148.27746971267,8469243.797339965,3,20469243.797339965
2020-12-01,425085.75886270043,8894329.556202665,3,20894329.556202665
2020-12-02,390655.5561781596,9284985.112380825,4,21284985.112380825
2020-12-03,-32885.51144698443,9252099.60093384,4,21252099.600933842
2020-12-04,371960.4125479595,9624060.0134818,3,21624060.0134818
2020-12-07,279643.12904314755,9903703.142524946,3,21903703.142524946
2020-12-08,445471.96291208133,10349175.105437027,4,22349175.105437025
2020-12-09,105856.23888765802,10455031.344324686,4,22455031.344324686
2020-12-10,-95592.21260394114,10359439.131720744,2,22359439.131720744
2020-12-11,110153.70806043752,10469592.839781182,2,22469592.83978118
2020-12-14,282872.0412201926,10752464.881001374,2,22752464.881001376
2020-12-15,-190200.00000000015,10562264.881001374,1,22562264.881001376
2020-12-16,295795.07008216414,10858059.951083537,1,22858059.951083537
2020-12-17,16981.132075472342,10875041.083159009,1,22875041.083159007
2020-12-18,290954.6396608562,11165995.722819865,2,23165995.722819865
2020-12-21,115729.04707233113,11281724.769892195,2,23281724.769892193
2020-12-22,-127970.31146454666,11153754.458427649,3,23153754.45842765
2020-12-23,-60725.02154742904,11093029.43688022,3,23093029.43688022
2020-12-24,-45556.97150900969,11047472.46537121,1,23047472.46537121
2020-12-25,26533.99668324985,11074006.46205446,1,23074006.46205446
2020-12-28,-26475.455046883053,11047531.007007577,1,23047531.007007577
2020-12-29,26533.99668324985,11074065.003690826,1,23074065.003690824
2020-12-30,308143.18808604527,11382208.191776872,3,23382208.19177687
2020-12-31,-37297.820719269876,11344910.371057602,5,23344910.3710576
2021-01-04,-56415.961636232176,11288494.40942137,5,23288494.40942137
2021-01-05,40433.245992471675,11328927.655413842,5,23328927.655413844
2021-01-06,-155041.1928366314,11173886.46257721,3,23173886.46257721
2021-01-07,382693.2621665194,11556579.72474373,3,23556579.72474373
2021-01-08,-63990.99520671689,11492588.729537012,1,23492588.72953701
2021-01-11,9285.561497325514,11501874.291034337,3,23501874.291034337
2021-01-12,-63650.00000000009,11438224.291034337,4,23438224.291034337
2021-01-13,330770.12166896777,11768994.412703305,4,23768994.412703305
2021-01-14,376789.8787905398,12145784.291493846,4,24145784.291493848
2021-01-15,-165356.6628041726,11980427.628689673,0,23980427.628689673
2021-01-18,0.0,11980427.628689673,0,23980427.628689673
2021-01-19,0.0,11980427.628689673,0,23980427.628689673
2021-01-20,-17100.0,11963327.628689673,1,23963327.628689673
2021-01-21,-173099.99999999983,11790227.628689673,0,23790227.628689673
2021-01-22,0.0,11790227.628689673,0,23790227.628689673
2021-01-25,0.0,11790227.628689673,0,23790227.628689673
2021-01-26,-17100.0,11773127.628689673,1,23773127.628689673
2021-01-27,-173100.0000000002,11600027.628689673,0,23600027.628689673
2021-01-28,-17100.0,11582927.628689673,1,23582927.628689673
2021-01-29,-20639.74267333761,11562287.886016335,1,23562287.886016335
2021-02-01,0.0,11562287.886016335,1,23562287.886016335
2021-02-02,-79125.91125730019,11483161.974759035,2,23483161.974759035
2021-02-03,-69718.92779051633,11413443.046968518,2,23413443.04696852
2021-02-04,-41421.33075869824,11372021.71620982,5,23372021.71620982
2021-02-05,-31921.85575201389,11340099.860457806,5,23340099.860457808
2021-02-17,258895.90495836944,11598995.765416175,5,23598995.765416175
2021-02-18,143096.2737717459,11742092.039187921,5,23742092.039187923
2021-02-19,410045.84550903115,12152137.884696953,5,24152137.884696953
2021-02-22,419673.02680188976,12571810.911498843,5,24571810.911498845
2021-02-23,164979.0250550016,12736789.936553845,5,24736789.936553843
2021-02-24,-71291.4924181964,12665498.44413565,4,24665498.44413565
2021-02-25,47429.29473200443,12712927.738867654,4,24712927.738867655
2021-02-26,-142432.26396855665,12570495.474899096,1,24570495.4748991
2021-03-02,-17100.0,12553395.474899096,2,24553395.4748991
2021-03-03,388600.0000000004,12941995.474899096,3,24941995.4748991
2021-03-04,-39009.7560975609,12902985.718801536,3,24902985.718801536
2021-03-05,113793.42989680913,13016779.148698345,3,25016779.148698345
2021-03-08,-94063.63636363606,12922715.512334708,2,24922715.512334708
2021-03-09,-5009.732274696289,12917705.780060012,1,24917705.780060012
2021-03-10,-17100.0,12900605.780060012,2,24900605.780060012
2021-03-11,25813.11247070795,12926418.89253072,4,24926418.89253072
2021-03-12,-26248.88255919305,12900170.009971527,3,24900170.00997153
2021-03-15,81602.6581967097,12981772.668168237,5,24981772.66816824
2021-03-16,37178.739099495826,13018951.407267733,5,25018951.407267734
2021-03-17,95894.80178913103,13114846.209056864,5,25114846.20905686
2021-03-18,33868.63244480187,13148714.841501666,5,25148714.841501668
2021-03-19,33507.55298118063,13182222.394482847,5,25182222.394482847
2021-03-22,57032.868062540394,13239255.262545388,5,25239255.26254539
2021-03-23,-66692.76087296246,13172562.501672426,5,25172562.501672424
2021-03-24,-89191.02252216451,13083371.479150262,3,25083371.47915026
2021-03-25,-45533.129970584996,13037838.349179678,3,25037838.349179678
2021-03-26,15276.194819227581,13053114.543998905,4,25053114.543998905
2021-03-29,-48990.15444941634,13004124.389549488,4,25004124.389549486
2021-03-30,23571.69679632088,13027696.086345809,5,25027696.086345807
2021-03-31,-28193.545585512613,12999502.540760295,5,24999502.540760294
2021-04-01,4016.632738679782,13003519.173498975,5,25003519.173498973
2021-04-06,73206.24397784703,13076725.417476822,5,25076725.41747682
2021-04-07,291125.21125433734,13367850.62873116,5,25367850.62873116
2021-04-08,328093.4517463816,13695944.080477541,5,25695944.080477543
2021-04-09,-20512.98468085695,13675431.095796684,5,25675431.095796682
2021-04-12,-14569.634201405961,13660861.461595278,4,25660861.46159528
2021-04-13,13642.524931897235,13674503.986527175,3,25674503.986527175
2021-04-14,-20907.4029395377,13653596.583587637,2,25653596.58358764
2021-04-15,192720.93676842036,13846317.520356057,2,25846317.52035606
2021-04-16,29765.185756807597,13876082.706112865,2,25876082.706112865
2021-04-19,67573.58212686617,13943656.288239732,4,25943656.288239732
2021-04-20,-31567.59424216143,13912088.693997571,5,25912088.69399757
2021-04-21,-43778.72498220735,13868309.969015364,5,25868309.969015364
2021-04-22,12429.48754791509,13880739.456563279,5,25880739.45656328
2021-04-23,223365.59728241304,14104105.053845692,5,26104105.053845692
2021-04-26,66590.17116726236,14170695.225012954,5,26170695.225012954
2021-04-27,-40083.99063583027,14130611.234377123,3,26130611.234377123
2021-04-28,-115400.00000000032,14015211.234377123,1,26015211.234377123
2021-04-29,0.0,14015211.234377123,1,26015211.234377123
2021-05-03,-86862.77712952119,13928348.457247602,1,25928348.4572476
2021-05-04,-173100.00000000116,13755248.4572476,0,25755248.4572476
2021-05-05,0.0,13755248.4572476,0,25755248.4572476
2021-05-06,0.0,13755248.4572476,0,25755248.4572476
2021-05-07,0.0,13755248.4572476,0,25755248.4572476
2021-05-10,0.0,13755248.4572476,0,25755248.4572476
2021-05-11,0.0,13755248.4572476,0,25755248.4572476
2021-05-12,0.0,13755248.4572476,0,25755248.4572476
2021-05-13,0.0,13755248.4572476,0,25755248.4572476
2021-05-14,0.0,13755248.4572476,0,25755248.4572476
2021-05-17,0.0,13755248.4572476,0,25755248.4572476
2021-05-18,-17100.0,13738148.4572476,2,25738148.4572476
2021-05-19,-173099.99999999927,13565048.4572476,0,25565048.4572476
2021-05-20,-17100.0,13547948.4572476,2,25547948.4572476
2021-05-21,125662.57076955365,13673611.028017154,3,25673611.028017156
2021-05-24,184958.41832969701,13858569.446346851,5,25858569.44634685
2021-05-25,130931.01362316246,13989500.459970014,5,25989500.459970012
2021-05-26,72632.33752987794,14062132.797499891,5,26062132.79749989
2021-05-27,88540.40493357184,14150673.202433463,5,26150673.202433463
2021-05-28,-61951.05631232094,14088722.146121142,5,26088722.146121144
2021-05-31,27093.61870073592,14115815.764821878,5,26115815.76482188
2021-06-01,81984.08879721793,14197799.853619095,5,26197799.853619095
2021-06-02,-108485.37132011182,14089314.482298983,5,26089314.482298985
2021-06-03,-69469.9389417521,14019844.54335723,5,26019844.54335723
2021-06-04,-3146.377620268554,14016698.165736962,4,26016698.165736962
2021-06-07,-22567.898976021606,13994130.26676094,3,25994130.266760938
2021-06-08,38099.1845560357,14032229.451316975,3,26032229.451316975
2021-06-09,54940.27759094292,14087169.728907919,2,26087169.72890792
2021-06-10,-27464.144034177774,14059705.584873741,2,26059705.584873743
2021-06-11,-59235.46903740065,14000470.115836341,1,26000470.11583634
2021-06-15,-18130.3116147321,13982339.80422161,1,25982339.804221608
2021-06-16,55530.98165311148,14037870.78587472,2,26037870.78587472
2021-06-17,-93222.91216258118,13944647.87371214,2,25944647.873712137
2021-06-18,-80085.98617976959,13864561.88753237,0,25864561.88753237
2021-06-21,-17100.0,13847461.88753237,2,25847461.88753237
2021-06-22,102822.37495014729,13950284.262482518,2,25950284.262482516
2021-06-23,-20196.11260053616,13930088.149881981,1,25930088.14988198
2021-06-24,-6890.155783891623,13923197.99409809,3,25923197.99409809
2021-06-25,-560.4452057214294,13922637.548892368,5,25922637.548892368
2021-06-28,-31190.51211201192,13891447.036780355,5,25891447.036780357
2021-06-29,-51719.81515088794,13839727.221629467,5,25839727.221629467
2021-06-30,271506.75839046563,14111233.980019933,5,26111233.980019934
2021-07-01,-149163.46915175806,13962070.510868175,2,25962070.510868177
2021-07-02,-148524.39125051658,13813546.119617658,1,25813546.119617656
2021-07-05,-22800.0,13790746.119617658,3,25790746.119617656
2021-07-06,-82534.61973952221,13708211.499878136,3,25708211.49987814
2021-07-07,7581.071679226045,13715792.571557362,4,25715792.57155736
2021-07-08,-76916.11494379767,13638876.456613565,3,25638876.456613563
2021-07-09,-78395.46840563987,13560480.988207925,2,25560480.988207925
2021-07-12,33766.14291941635,13594247.13112734,2,25594247.131127343
2021-07-13,-152854.19674697815,13441392.934380362,2,25441392.93438036
2021-07-14,372274.73237794754,13813667.66675831,4,25813667.66675831
2021-07-15,196158.169030023,14009825.835788334,4,26009825.835788332
2021-07-16,76333.90735008361,14086159.743138418,5,26086159.743138418
2021-07-19,-107832.76400978882,13978326.979128629,3,25978326.97912863
2021-07-20,-116215.60836695229,13862111.370761676,2,25862111.370761678
2021-07-21,-35098.812664907855,13827012.558096768,1,25827012.558096766
2021-07-22,41857.42315238815,13868869.981249157,1,25868869.981249157
2021-07-23,-173100.00000000096,13695769.981249155,0,25695769.981249154
2021-07-26,-17100.0,13678669.981249155,1,25678669.981249154
2021-07-27,258339.94023296956,13937009.921482125,1,25937009.921482123
2021-07-28,33797.01492537256,13970806.936407497,3,25970806.9364075
2021-07-29,110083.13440823706,14080890.070815735,5,26080890.070815735
2021-07-30,6044.240006271735,14086934.310822006,3,26086934.310822006
