,ticker,type,entry_date,exit_date,entry_p,exit_p,pnl_net
366,9910,short,2022-08-05,2022-08-09,132.87,137.28,-138461.34567622477
367,3163,long,2022-08-09,2022-08-11,54.65,52.737249999999996,-157700.0000000002
368,3680,long,2022-08-02,2022-08-12,220.71,226.01265,78401.67187712382
369,2360,long,2022-08-01,2022-08-22,162.23,165.93,73528.50274301959
370,6146,long,2022-08-11,2022-08-22,194.85,190.72,-102483.16653836276
371,4979,long,2022-08-12,2022-08-26,35.25,38.8316,388722.69503546116
372,3081,long,2022-08-22,2022-08-29,169.42,168.1416,-47882.97721638476
373,5425,long,2022-08-29,2022-09-01,80.99,82.11185,37706.84035066103
374,3661,long,2022-08-26,2022-09-05,798.26,860.5677,294517.5732217571
375,3131,long,2022-09-01,2022-09-05,272.92,263.3678,-157700.0000000004
376,4162,long,2022-08-22,2022-09-14,102.17,120.3,692097.3964960357
377,3661,long,2022-09-05,2022-09-16,838.75,892.2004,237205.03725782386
378,6643,long,2022-09-05,2022-09-16,274.25,276.8585,20345.578851412836
379,5457,long,2022-09-16,2022-09-19,59.6,57.514,-157699.9999999999
380,3653,long,2022-09-16,2022-09-20,379.53,370.38,-114135.06442178461
381,2360,long,2022-09-14,2022-09-21,184.88,180.63835,-109470.8784076156
382,2105,long,2022-09-19,2022-09-23,34.92,33.823249999999994,-143330.01145475457
383,6146,long,2022-09-20,2022-09-23,213.02,213.9212,-777.645291522138
384,3017,long,2022-09-21,2022-09-26,112.18,108.25370000000001,-157699.9999999999
385,00632R,long,2022-09-23,2022-10-05,42.49,43.56975,91947.44645798985
386,00664R,long,2022-09-23,2022-10-05,6.86,7.03485,92253.35276967887
387,00676R,long,2022-09-26,2022-10-05,23.08,23.1407,819.9306759099909
388,5425,short,2022-10-06,2022-10-14,68.43,64.2735,237263.61245068
389,5289,short,2022-10-05,2022-10-18,132.42,130.97924999999998,37820.6162211149
390,3045,short,2022-10-05,2022-10-24,83.81,81.86,131051.47953704829
391,00632R,long,2022-10-14,2022-10-27,45.29,45.99,156371.40649149998
392,2395,short,2022-11-07,2022-11-08,246.48,252.81,-108426.38753651432
393,3231,short,2022-11-07,2022-11-08,24.68,25.09,-72150.56726094005
394,1216,short,2022-11-11,2022-11-14,58.26,58.89,-73431.56539649871
395,2317,short,2022-11-07,2022-11-15,89.75,91.09,-65421.44846796672
396,3037,long,2022-11-15,2022-11-18,148.98,144.2096,-145781.62169418702
397,5347,long,2022-11-18,2022-11-21,77.23,74.52695,-157700.00000000023
398,4162,long,2022-11-14,2022-11-22,111.01,119.5056,288420.16935411206
399,4162,long,2022-11-22,2022-11-25,117.65,118.64675,16188.652783680118
400,8299,long,2022-11-21,2022-11-29,291.64,288.98,-54183.33561925618
401,2379,long,2022-11-25,2022-11-29,286.82,276.7813,-157700.0000000001
402,6643,long,2022-11-14,2022-12-01,312.21,373.455,766964.1683482273
403,4979,long,2022-11-29,2022-12-07,41.51,50.01595,801953.0956396048
404,6121,long,2022-11-29,2022-12-07,242.56,238.16,-90259.36675461751
405,6510,long,2022-12-01,2022-12-08,506.5,517.7997,71537.51233958564
406,8932,long,2022-12-08,2022-12-09,10.61,10.23865,-157699.99999999988
407,8436,long,2022-12-07,2022-12-12,145.37,142.77175,-89193.43055651117
408,3491,long,2022-12-07,2022-12-13,132.43,128.25815,-143709.21241410577
409,5536,long,2022-12-12,2022-12-16,89.83,87.74,-110764.67772459105
410,5009,long,2022-12-13,2022-12-19,31.32,30.42645,-131818.7739463603
411,6146,long,2022-12-16,2022-12-20,189.07,182.45254999999997,-157700.0000000004
412,8932,long,2022-12-09,2022-12-21,10.05,10.682549999999999,234061.1940298501
413,3231,long,2022-12-19,2022-12-28,28.08,27.097199999999997,-157700.00000000015
414,5009,long,2022-12-22,2022-12-28,32.17,31.06,-155716.78582530344
415,3293,long,2022-12-20,2023-01-13,180.19,207.8417,596134.2860314114
416,5371,long,2022-12-28,2023-01-13,49.81,50.025600000000004,-386.2075888374238
417,3680,long,2023-01-13,2023-02-01,263.73,259.47,-82311.5345239448
418,3105,long,2023-01-13,2023-02-03,165.99,182.25955,374360.96752816386
419,4979,long,2023-02-01,2023-02-03,47.33,46.8025,-62280.60426790588
420,3034,long,2022-12-28,2023-02-06,253.45,292.0,590704.0244624189
421,5274,long,2023-02-03,2023-02-06,2419.63,2334.94295,-157700.0
422,5274,long,2023-02-06,2023-02-09,2313.17,2232.20905,-157700.00000000023
423,3152,long,2023-02-06,2023-02-10,205.15,197.96975,-157700.0
424,6180,long,2023-02-09,2023-02-14,73.09,72.25919999999999,-63167.2321795053
425,4979,long,2023-02-03,2023-02-22,46.6,51.8977,437038.19742489257
426,6462,long,2023-02-10,2023-03-01,72.92,77.8,249990.61985737766
427,6290,long,2023-02-14,2023-03-02,58.78,65.2147,420183.63388907735
428,3481,long,2023-02-22,2023-03-02,14.81,14.29165,-157699.99999999997
429,5274,long,2023-03-01,2023-03-02,2869.68,2769.2412,-157699.99999999988
430,5274,long,2023-03-02,2023-03-06,2685.79,2591.78735,-157699.99999999985
431,6561,long,2023-03-02,2023-03-10,292.6,293.09945,-10872.248803828195
432,3529,long,2023-03-02,2023-03-14,1900.36,1862.0543499999999,-98328.19676271868
433,5536,long,2023-03-06,2023-03-14,114.58,110.5697,-157700.00000000003
434,3491,long,2023-03-10,2023-03-15,155.14,157.92225,54035.20690988797
435,5009,long,2023-03-14,2023-03-16,42.23,41.8617,-78877.72910253344
436,3630,long,2023-03-16,2023-03-28,30.3,30.687,33389.10891089115
437,3680,long,2023-03-16,2023-04-06,306.26,342.51709999999997,455846.6597009075
438,3231,long,2023-04-06,2023-04-18,38.12,40.11505,191644.1762854144
439,3324,long,2023-03-28,2023-04-19,199.58,234.52394999999999,682649.7344423283
440,3363,long,2023-04-18,2023-04-19,35.61,34.36365,-157699.99999999997
441,3078,long,2023-03-14,2023-04-20,31.51,47.304300000000005,1987288.8924151068
442,4979,long,2023-04-19,2023-04-20,58.67,56.61655,-157700.00000000035
