date,pnl,total_profit,n,equity_bt,year
2024-03-28,18650.250401844478,8197661.35865373,107,68197661.35865372,2024
2024-03-29,40516.94058890941,8238178.299242639,107,68238178.29924265,2024
2024-04-01,6890.64148336067,8245068.940726,107,68245068.940726,2024
2024-04-02,17771.6250650383,8262840.565791038,107,68262840.56579104,2024
2024-04-03,-2479.769977907143,8260360.795813131,107,68260360.79581313,2024
2024-04-08,31447.57809398956,8291808.373907121,108,68291808.37390712,2024
2024-04-09,34996.73492341616,8326805.108830537,108,68326805.10883054,2024
2024-04-10,30361.729776045908,8357166.838606583,107,68357166.83860658,2024
2024-04-11,-18767.317826770726,8338399.520779812,106,68338399.52077982,2024
2024-04-12,34660.149578166005,8373059.670357978,106,68373059.67035797,2024
2024-04-15,-83257.39598907456,8289802.274368904,103,68289802.2743689,2024
2024-04-16,-229779.57471378313,8060022.69965512,103,68060022.69965512,2024
2024-04-17,133090.36581008305,8193113.0654652035,103,68193113.0654652,2024
2024-04-18,44474.56658446247,8237587.632049666,103,68237587.63204966,2024
2024-04-19,-172762.14197123123,8064825.490078434,103,68064825.49007843,2024
2024-04-22,-106770.28543271676,7958055.2046457175,104,67958055.20464572,2024
2024-04-23,44689.46890677467,8002744.673552493,104,68002744.6735525,2024
2024-04-24,185523.89890081197,8188268.572453304,104,68188268.5724533,2024
2024-04-25,-61377.827954656015,8126890.744498648,105,68126890.74449864,2024
2024-04-26,92470.82183114576,8219361.566329793,105,68219361.56632979,2024
2024-04-29,97420.29565803093,8316781.861987824,105,68316781.86198783,2024
2024-04-30,-15293.605072731576,8301488.2569150925,105,68301488.25691509,2024
2024-05-02,-17221.689195824492,8284266.567719268,107,68284266.56771927,2024
2024-05-03,33742.70690597899,8318009.274625246,108,68318009.27462524,2024
2024-05-06,62849.65506564184,8380858.929690888,109,68380858.92969088,2024
2024-05-07,29161.2001908618,8410020.12988175,110,68410020.12988175,2024
2024-05-08,37374.27113257569,8447394.401014326,110,68447394.40101433,2024
2024-05-09,-88115.6991770907,8359278.701837235,109,68359278.70183724,2024
2024-05-10,15527.234015961867,8374805.935853197,110,68374805.9358532,2024
2024-05-13,12965.411131707888,8387771.346984905,111,68387771.34698491,2024
2024-05-14,63970.417951186275,8451741.764936091,111,68451741.76493609,2024
2024-05-15,39843.28494308575,8491585.049879177,111,68491585.04987918,2024
2024-05-16,72939.11024110772,8564524.160120284,110,68564524.16012028,2024
2024-05-17,-8191.635690831264,8556332.524429454,110,68556332.52442946,2024
2024-05-20,6915.524173726279,8563248.048603179,109,68563248.04860318,2024
2024-05-21,60376.655285833986,8623624.703889012,110,68623624.70388901,2024
2024-05-22,108365.69627474452,8731990.400163757,109,68731990.40016375,2024
2024-05-23,-1892.3043747460079,8730098.095789012,109,68730098.09578902,2024
2024-05-24,61056.409053110016,8791154.504842121,109,68791154.50484212,2024
2024-05-27,49460.28767407675,8840614.792516198,108,68840614.7925162,2024
2024-05-28,34343.49875410305,8874958.2912703,109,68874958.2912703,2024
2024-05-29,-11323.607299763056,8863634.683970537,110,68863634.68397054,2024
2024-05-30,-70799.55179481971,8792835.132175718,110,68792835.13217571,2024
2024-05-31,-35041.25565667445,8757793.876519043,109,68757793.87651904,2024
2024-06-03,99323.6347519584,8857117.511271002,109,68857117.511271,2024
2024-06-04,-74034.83173825644,8783082.679532746,109,68783082.67953275,2024
2024-06-05,-7405.116008586197,8775677.56352416,109,68775677.56352416,2024
2024-06-06,32352.248005433816,8808029.811529594,109,68808029.81152959,2024
2024-06-07,575.1106243370481,8808604.922153931,109,68808604.92215393,2024
2024-06-11,8865.534369701705,8817470.456523633,108,68817470.45652363,2024
2024-06-12,89633.87101694357,8907104.327540576,108,68907104.32754058,2024
2024-06-13,120129.57588296928,9027233.903423546,107,69027233.90342355,2024
